zone,model,feature,importance,importance_pct
MAC,LightGBM,UVIndex_W,212.0,2.3555555555555556
MAC,LightGBM,day_of_week,203.0,2.2555555555555555
MAC,LightGBM,RealFeel_W,182.0,2.022222222222222
MAC,LightGBM,RelativeHumidity_W,127.0,1.411111111111111
MAC,LightGBM,is_tou,125.0,1.3888888888888888
MAC,LightGBM,holiday,108.0,1.2
MAC,LightGBM,is_Sunday,107.0,1.1888888888888889
MAC,LightGBM,is_post_holiday,98.0,1.0888888888888888
MAC,LightGBM,peakmonth,95.0,1.0555555555555556
MAC,LightGBM,day_auto,87.0,0.9666666666666667
MAC,LightGBM,REQ_LAST168H_roll_mean_3,85.0,0.9444444444444444
MAC,LightGBM,IsDaylight_W,85.0,0.9444444444444444
MAC,LightGBM,is_weekend,85.0,0.9444444444444444
MAC,LightGBM,REQ_LAST168H_roll_std_6,83.0,0.9222222222222222
MAC,LightGBM,month_auto,79.0,0.8777777777777779
MAC,LightGBM,year_auto,70.0,0.7777777777777778
MAC,LightGBM,is_holiday,67.0,0.7444444444444445
MAC,LightGBM,REQ_LAST168H_diff_1,63.0,0.7000000000000001
MAC,LightGBM,REQ_LAST168H_pct_change_1,54.0,0.6
MAC,LightGBM,is_pre_holiday,50.0,0.5555555555555556
MAC,LightGBM,CloudCover_W,50.0,0.5555555555555556
MAC,LightGBM,PEAK_OFFPEAK_NUMERIC,39.0,0.4333333333333333
MAC,LightGBM,is_Saturday,35.0,0.3888888888888889
MAC,LightGBM,quarter,30.0,0.33333333333333337
MAC,LightGBM,dayofweek_auto,20.0,0.2222222222222222
MAC,LightGBM,hour_auto,18.0,0.2
MAC,LightGBM,minute,11.0,0.12222222222222222
MAC,LightGBM,reg,0.0,0.0
NAC,XGBoost,REQUIREMENT_LAG_3D,0.4096947908401489,40.96947908401489
NAC,XGBoost,REQ_LAST168H,0.18193189799785614,18.193189799785614
NAC,XGBoost,REQ_LAST168H_roll_mean_3,0.07925106585025787,7.925106585025787
NAC,XGBoost,REQ_LAST336H,0.038373980671167374,3.8373980671167374
NAC,XGBoost,IsDaylight_W,0.02932089939713478,2.932089939713478
NAC,XGBoost,Temp_W,0.023853659629821777,2.3853659629821777
NAC,XGBoost,REQ_LAST672H,0.01839481294155121,1.8394812941551208
NAC,XGBoost,long_holiday,0.01418465655297041,1.418465655297041
NAC,XGBoost,is_post_holiday,0.014176669530570507,1.4176669530570507
NAC,XGBoost,is_Sunday,0.01344713568687439,1.344713568687439
NAC,XGBoost,is_pre_holiday,0.011688366532325745,1.1688366532325745
NAC,XGBoost,is_holiday,0.010790596716105938,1.0790596716105938
NAC,XGBoost,REQ_LAST504H,0.010600152425467968,1.0600152425467968
NAC,XGBoost,hour,0.010007976554334164,1.0007976554334164
NAC,XGBoost,UVIndex_W,0.008620976470410824,0.8620976470410824
NAC,XGBoost,RelativeHumidity_W,0.008578167296946049,0.8578167296946049
NAC,XGBoost,hour_auto,0.00763014517724514,0.763014517724514
NAC,XGBoost,WetBulb_W,0.007612040266394615,0.7612040266394615
NAC,XGBoost,peakmonth,0.006841514725238085,0.6841514725238085
NAC,XGBoost,month,0.006450893823057413,0.6450893823057413
NAC,XGBoost,is_tou,0.00637319078668952,0.637319078668952
NAC,XGBoost,day_of_week,0.006314633414149284,0.6314633414149284
NAC,XGBoost,RealFeel_W,0.005703615956008434,0.5703615956008434
NAC,XGBoost,holiday,0.005692130886018276,0.5692130886018276
NAC,XGBoost,is_weekend,0.005251837428659201,0.5251837428659201
NAC,XGBoost,year_auto,0.005212774034589529,0.5212774034589529
NAC,XGBoost,TIME_SLOT,0.0051637329161167145,0.5163732916116714
NAC,XGBoost,quarter,0.0048267231322824955,0.48267231322824955
NAC,XGBoost,month_auto,0.004700598306953907,0.4700598306953907
NAC,XGBoost,dayofweek_auto,0.00468227406963706,0.468227406963706
NAC,XGBoost,year,0.0041373660787940025,0.41373660787940025
NAC,XGBoost,CloudCover_W,0.003630381077528,0.3630381077528
NAC,XGBoost,DewPoint_W,0.003600441152229905,0.3600441152229905
NAC,XGBoost,minute,0.003465549787506461,0.3465549787506461
NAC,XGBoost,REQ_LAST168H_pct_change_1,0.0032248268835246563,0.32248268835246563
NAC,XGBoost,DayOfWeek,0.0028277914971113205,0.28277914971113205
NAC,XGBoost,REQ_LAST168H_roll_std_6,0.0025563472881913185,0.25563472881913185
NAC,XGBoost,PEAK_OFFPEAK_NUMERIC,0.0024927069898694754,0.24927069898694754
NAC,XGBoost,REQ_LAST168H_roll_mean_6,0.002226016717031598,0.2226016717031598
NAC,XGBoost,day,0.002169516868889332,0.21695168688893318
NAC,XGBoost,day_auto,0.002049026545137167,0.2049026545137167
NAC,XGBoost,REQ_LAST168H_diff_1,0.0016767123015597463,0.16767123015597463
NAC,XGBoost,is_Saturday,0.0005713851423934102,0.05713851423934102
NAC,XGBoost,reg,0.0,0.0
NAC,LightGBM,Temp_W,990.0,11.022044088176353
NAC,LightGBM,REQUIREMENT_LAG_3D,658.0,7.325762636383878
NAC,LightGBM,day,638.0,7.103095079046982
NAC,LightGBM,hour,590.0,6.5686929414384325
NAC,LightGBM,month,505.0,5.622355822756624
NAC,LightGBM,RealFeel_W,488.0,5.433088399020263
NAC,LightGBM,year,380.0,4.230683589401024
NAC,LightGBM,TIME_SLOT,371.0,4.13048318859942
NAC,LightGBM,REQ_LAST336H,370.0,4.119349810732576
NAC,LightGBM,DewPoint_W,358.0,3.9857492763304387
NAC,LightGBM,UVIndex_W,348.0,3.8744154976619907
NAC,LightGBM,RelativeHumidity_W,342.0,3.807615230460922
NAC,LightGBM,REQ_LAST168H,301.0,3.3511467379202853
NAC,LightGBM,WetBulb_W,300.0,3.3400133600534407
NAC,LightGBM,REQ_LAST168H_roll_mean_6,238.0,2.6497439323090624
NAC,LightGBM,REQ_LAST672H,175.0,1.94834112669784
NAC,LightGBM,day_of_week,168.0,1.8704074816299265
NAC,LightGBM,CloudCover_W,161.0,1.792473836562013
NAC,LightGBM,REQ_LAST504H,160.0,1.781340458695168
NAC,LightGBM,DayOfWeek,146.0,1.625473168559341
NAC,LightGBM,IsDaylight_W,140.0,1.558672901358272
NAC,LightGBM,long_holiday,120.0,1.3360053440213762
NAC,LightGBM,peakmonth,108.0,1.2024048096192386
NAC,LightGBM,is_tou,106.0,1.1801380538855488
NAC,LightGBM,is_Sunday,87.0,0.9686038744154977
NAC,LightGBM,REQ_LAST168H_roll_mean_3,77.0,0.8572700957470496
NAC,LightGBM,REQ_LAST168H_roll_std_6,75.0,0.8350033400133602
NAC,LightGBM,REQ_LAST168H_diff_1,67.0,0.7459363170786016
NAC,LightGBM,REQ_LAST168H_pct_change_1,60.0,0.6680026720106881
NAC,LightGBM,is_holiday,56.0,0.6234691605433089
NAC,LightGBM,month_auto,50.0,0.55666889334224
NAC,LightGBM,year_auto,45.0,0.501002004008016
NAC,LightGBM,holiday,43.0,0.47873524827432645
