2026-06-26 08:05:23,909 | INFO | Decision dashboard built (5 zones)
2026-06-26 08:05:25,356 | INFO | Excel report written → /Users/noeiibibi/Documents/multi-region-load-forecasting/Egat_forecasting/output/load_forecast_report.xlsx
2026-06-26 08:05:25,356 | INFO | Pipeline finished successfully (run_timestamp=20260626_075817)
2026-06-26 10:35:32,642 | INFO | Pipeline started  (run_timestamp=20260626_103532)
2026-06-26 10:35:32,642 | INFO | Starting zone: CAC
2026-06-26 10:35:51,895 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-26 10:35:52,472 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-26 10:36:29,762 | INFO | Finished zone: CAC
2026-06-26 10:36:29,768 | INFO | Starting zone: MAC
2026-06-26 10:36:46,661 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_Lag123.csv
2026-06-26 10:36:47,201 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/MAC_test_Lag123.csv
2026-06-26 10:37:46,343 | INFO | Finished zone: MAC
2026-06-26 10:37:46,350 | INFO | Starting zone: NAC
2026-06-26 10:38:04,100 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_Lag123.csv
2026-06-26 10:38:04,568 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NAC_test_Lag123.csv
2026-06-26 10:38:48,554 | INFO | Finished zone: NAC
2026-06-26 10:38:48,559 | INFO | Starting zone: NEC
2026-06-26 10:39:04,996 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_Lag123.csv
2026-06-26 10:39:05,475 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/NEC_test_Lag123.csv
2026-06-26 10:40:26,280 | INFO | Finished zone: NEC
2026-06-26 10:40:26,286 | INFO | Starting zone: SAC
2026-06-26 10:40:46,104 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_Lag123.csv
2026-06-26 10:40:46,630 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/SAC_test_Lag123.csv
2026-06-26 10:41:21,568 | INFO | Finished zone: SAC
2026-06-26 10:41:21,745 | INFO | CSV exports complete
2026-06-26 10:41:21,775 | INFO | Decision dashboard built (5 zones)
2026-06-26 10:41:23,198 | INFO | Excel report written → /Users/noeiibibi/Documents/multi-region-load-forecasting/Egat_forecasting/output/load_forecast_report.xlsx
2026-06-26 10:41:23,198 | INFO | Pipeline finished successfully (run_timestamp=20260626_103532)
2026-06-27 21:04:24,056 | INFO | Pipeline started  (run_timestamp=20260627_210424)
2026-06-27 21:04:24,057 | INFO | Starting zone: CAC
2026-06-27 21:04:39,827 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_Lag123.csv
2026-06-27 21:04:40,378 | INFO | Downloaded fresh file: http://sothailand.com/centerimg/CAC_test_Lag123.csv
2026-06-27 21:08:27,590 | INFO | Pipeline started  (run_timestamp=20260627_210827)
